id,phase,item,value,unit,source_type,source_ref,extracted_by,confidence,used_in,confirmed_by_user,notes
DNA2-P1,1,Cut-off Date Balance,26703800234.86,USD,PPM,p203 Glossary Cut-off Date Balance,ppm-analyst,high,"waterfall (Senior Percentage denominator on PD 1, CNL denominator, clean-up threshold)",N,YAML deal.cut_off_date_balance_usd. Equals the sum of the 13 initial Class Notional Amounts (verified 0.00 difference).
DNA2-P2,1,Cut-off Date,2026-01-31,date,PPM,p203 Glossary Cut-off Date,ppm-analyst,high,pool projection start,N,YAML deal.cut_off_date. DNA1 2025-12-31.
DNA2-P3,1,Closing Date,2026-03-17,date,PPM,p200 Glossary Closing Date,ppm-analyst,high,WAL clock origin; first Accrual Period start,N,YAML deal.closing_date. DNA1 2026-02-17.
DNA2-P4,1,First Payment Date,2026-04-27,date,PPM,p216 Glossary Payment Date,ppm-analyst,medium,payment date calendar; first Accrual Period length,N,"PPM says 25th of each month commencing April 2026, or the following Business Day; 2026-04-25 is a Saturday so the first Payment Date rolls to Monday 2026-04-27. The PPM tables assume payment on the 25th (p139 (q)). See DNA2-Q3."
DNA2-P5,1,Payment Date day of month,25,day,PPM,p216 Glossary Payment Date,ppm-analyst,high,payment date calendar,N,Following Business Day if not a Business Day. YAML coupon.payment_date.
DNA2-P6,1,Scheduled Maturity Date,Payment Date in March 2046,date,PPM,p222 Glossary Scheduled Maturity Date,ppm-analyst,high,run length,N,"YAML deal.scheduled_maturity_date. Payment Date number 240 with April 2026 = 1 (DERIVED, see DNA2-P7)."
DNA2-P7,1,Number of Payment Dates to Scheduled Maturity,240,count,DERIVED,"April 2026 (PD 1) through March 2046 (PD 240); inputs DNA2-P4, DNA2-P6",ppm-analyst,high,run length,N,20 years x 12. Same as DNA1.
DNA2-P8,1,Quality Control Cut-off Date,2026-02-03,date,PPM,p219 Glossary Quality Control Cut-off Date,ppm-analyst,high,not consumed by the engine (recorded for completeness),N,YAML deal.quality_control_cut_off_date.
DNA2-P9,1,Class A-H initial Class Notional Amount,25902685229.86,USD,PPM,p24 Table 3 (row shifted; reconciled = CODB minus the twelve other tranches),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.A-H.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Retained senior. Sole member of the Senior Percentage numerator (p223 Senior Reference Tranche).
DNA2-P10,1,Class M-1 initial Class Notional Amount,253600000,USD,PPM,p24 Table 3 fn (2),ppm-analyst,high,waterfall tranche stack,N,YAML reference_tranches.M-1.initial_class_notional_amount_usd. Sum of all 13 tranches = Cut-off Date Balance DNA2-P1 (verified). Note. = original Class Principal Balance of the M-1 Notes.
